,region,customer_lifetime_value,response,coverage,education,effective_to_date,month,employment_status,gender,income,location_code,marital_status,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies,policy_type,policy,renew_offer_type,sales_channel,total_claim_amount,vehicle_class,vehicle_size
6031,west region,2774,no,basic,master,1/20/11,jan,unemployed,f,64405,suburban,divorced,74,4,30,0,1,personal auto,personal l3,offer2,branch,355,four-door car,medsize
6032,west region,8474,no,basic,bachelor,1/7/11,jan,employed,m,58488,suburban,divorced,73,29,15,2,2,personal auto,personal l3,offer2,agent,350,four-door car,small
6033,north west,4061,no,premium,bachelor,1/13/11,jan,employed,m,70129,rural,married,103,24,57,1,1,personal auto,personal l2,offer1,branch,130,four-door car,medsize
6034,west region,6950,no,extended,high school or below,2/5/11,feb,employed,f,21687,suburban,married,88,10,68,0,8,personal auto,personal l3,offer2,agent,603,four-door car,medsize
6035,west region,9199,no,premium,college,1/3/11,jan,employed,m,37399,urban,married,116,30,22,0,3,personal auto,personal l3,offer1,call center,392,four-door car,medsize
6036,west region,3460,no,basic,college,1/14/11,jan,unemployed,m,25417,suburban,married,100,15,96,1,1,personal auto,personal l3,offer1,agent,720,suv,medsize
6037,north west,4855,no,basic,bachelor,2/7/11,feb,employed,f,24149,suburban,married,61,15,10,0,3,personal auto,personal l1,offer1,agent,292,four-door car,small
6038,west region,22448,no,extended,college,1/30/11,jan,unemployed,f,21132,suburban,single,78,7,63,0,2,special auto,special l2,offer1,agent,561,four-door car,medsize
6039,west region,5623,no,basic,college,2/19/11,feb,employed,f,31504,suburban,married,71,8,27,0,3,special auto,special l1,offer4,branch,340,four-door car,small
6040,west region,2784,no,basic,high school or below,2/12/11,feb,disabled,f,20814,urban,married,72,16,57,0,1,personal auto,personal l2,offer3,call center,288,four-door car,medsize
6041,north west,7762,no,premium,college,1/3/11,jan,disabled,f,23827,rural,married,106,18,77,2,3,personal auto,personal l3,offer1,agent,37,four-door car,medsize
6042,north west,3269,no,extended,college,2/11/11,feb,employed,m,26140,suburban,married,84,23,37,1,1,personal auto,personal l3,offer4,branch,403,two-door car,small
6043,north west,4913,no,basic,college,2/6/11,feb,employed,f,48295,urban,single,63,25,96,0,8,personal auto,personal l1,offer1,branch,290,four-door car,medsize
6044,east,2050,no,basic,college,2/16/11,feb,unemployed,m,56537,suburban,single,61,18,26,0,1,personal auto,personal l3,offer2,agent,292,four-door car,small
6045,north west,4369,no,premium,high school or below,1/26/11,jan,employed,f,26026,rural,single,116,1,76,1,1,personal auto,personal l3,offer3,agent,283,two-door car,medsize
6046,north west,2562,no,basic,high school or below,2/10/11,feb,employed,m,92038,urban,married,65,4,44,2,1,personal auto,personal l3,offer2,agent,178,two-door car,small
6047,north west,22951,no,basic,college,1/20/11,jan,employed,m,62396,suburban,married,64,13,18,0,2,personal auto,personal l2,offer3,call center,307,four-door car,small
6048,east,2585,no,basic,bachelor,2/19/11,feb,disabled,f,21603,suburban,married,68,11,46,2,1,personal auto,personal l3,offer4,branch,326,four-door car,large
6049,central,11389,no,extended,bachelor,2/8/11,feb,employed,f,58187,rural,married,95,18,39,0,2,personal auto,personal l3,offer4,branch,76,two-door car,medsize
6050,central,4055,no,extended,bachelor,2/24/11,feb,unemployed,m,44529,suburban,single,121,2,18,0,1,personal auto,personal l1,offer1,call center,1215,suv,medsize
6051,central,4004,no,premium,college,1/20/11,jan,unemployed,m,90259,suburban,married,107,6,65,0,1,personal auto,personal l3,offer2,agent,513,four-door car,medsize
6052,central,2883,no,basic,high school or below,1/18/11,jan,employed,f,37741,suburban,single,74,3,59,0,1,corporate auto,corporate l3,offer2,web,355,two-door car,small
6053,west region,5746,no,basic,master,2/20/11,feb,employed,m,50798,rural,married,72,21,59,0,7,personal auto,personal l3,offer2,call center,64,four-door car,medsize
6054,west region,2578,no,basic,high school or below,2/22/11,feb,employed,m,34946,suburban,married,65,30,63,0,1,personal auto,personal l3,offer2,call center,420,two-door car,small
6055,west region,6290,no,extended,bachelor,1/21/11,jan,unemployed,m,25200,suburban,single,95,11,23,0,5,personal auto,personal l2,offer1,branch,684,four-door car,medsize
6056,central,2162,no,basic,college,1/12/11,jan,unemployed,f,63400,suburban,single,66,18,95,2,1,personal auto,personal l3,offer1,branch,316,two-door car,medsize
6057,east,5346,no,extended,master,2/12/11,feb,disabled,f,10511,urban,married,139,33,64,0,1,corporate auto,corporate l1,offer1,branch,516,suv,medsize
6058,west region,4118,yes,premium,bachelor,1/28/11,jan,employed,f,69379,suburban,single,103,14,79,0,1,personal auto,personal l2,offer1,branch,494,two-door car,medsize
6059,west region,7980,no,basic,college,2/15/11,feb,retired,f,15630,suburban,divorced,115,8,60,1,3,personal auto,personal l1,offer1,web,656,suv,medsize
6060,west region,6846,no,extended,bachelor,1/27/11,jan,unemployed,f,75957,suburban,divorced,95,13,20,0,5,personal auto,personal l3,offer1,call center,456,two-door car,large
6061,west region,2616,no,basic,bachelor,1/30/11,jan,disabled,m,22000,suburban,married,69,27,36,0,1,personal auto,personal l3,offer2,web,383,two-door car,medsize
6062,north west,4996,no,basic,high school or below,2/5/11,feb,employed,m,99761,suburban,single,63,0,73,0,3,corporate auto,corporate l3,offer2,branch,452,two-door car,medsize
6063,north west,3939,yes,extended,bachelor,1/28/11,jan,employed,f,60021,suburban,married,99,12,28,0,1,special auto,special l1,offer2,agent,882,four-door car,small
6064,central,7757,no,premium,bachelor,1/23/11,jan,unemployed,m,97033,suburban,divorced,111,32,13,0,3,corporate auto,corporate l2,offer1,branch,607,two-door car,medsize
6065,north west,6974,no,extended,high school or below,1/2/11,jan,disabled,m,26514,suburban,married,91,16,58,0,3,personal auto,personal l3,offer2,agent,655,four-door car,small
6066,west region,5473,no,basic,bachelor,2/2/11,feb,employed,m,93870,suburban,divorced,69,2,96,0,8,personal auto,personal l2,offer1,call center,331,four-door car,medsize
6067,central,13023,no,premium,high school or below,1/24/11,jan,employed,f,64985,rural,married,108,23,94,0,2,personal auto,personal l3,offer1,web,16,suv,medsize
6068,central,5762,no,basic,doctor,1/23/11,jan,employed,m,66156,suburban,married,72,11,66,0,6,personal auto,personal l2,offer2,web,345,four-door car,medsize
6069,north west,2489,no,basic,high school or below,1/26/11,jan,employed,f,47888,suburban,single,64,23,16,1,1,personal auto,personal l1,offer1,web,545,four-door car,small
6070,central,4048,no,basic,high school or below,2/5/11,feb,employed,f,92801,urban,married,100,24,23,0,1,personal auto,personal l2,offer2,web,407,suv,medsize
6071,west region,15262,no,extended,bachelor,1/4/11,jan,employed,m,80757,urban,married,128,9,14,0,2,personal auto,personal l1,offer2,agent,339,suv,medsize
6072,west region,4170,no,basic,bachelor,1/19/11,jan,employed,m,42837,urban,married,106,15,39,0,1,personal auto,personal l3,offer1,agent,290,suv,medsize
6073,west region,7434,no,basic,college,2/3/11,feb,employed,f,49057,rural,single,63,16,52,0,2,personal auto,personal l3,offer2,call center,29,two-door car,medsize
6074,central,2694,no,basic,bachelor,2/5/11,feb,employed,f,26744,suburban,married,68,16,61,0,1,corporate auto,corporate l3,offer2,agent,326,two-door car,large
6075,west region,3337,no,extended,master,1/15/11,jan,employed,m,60607,urban,married,83,3,82,0,1,corporate auto,corporate l1,offer2,web,379,four-door car,medsize
6076,west region,3963,no,extended,high school or below,2/12/11,feb,employed,m,38096,suburban,divorced,99,3,28,0,1,personal auto,personal l1,offer1,agent,475,two-door car,medsize
6077,west region,4660,no,basic,high school or below,1/14/11,jan,unemployed,m,11460,suburban,single,67,11,87,0,3,personal auto,personal l2,offer1,web,482,two-door car,medsize
6078,central,5230,no,basic,high school or below,1/2/11,jan,employed,m,32630,urban,married,66,26,40,0,3,personal auto,personal l2,offer1,call center,202,four-door car,medsize
6079,west region,5654,no,extended,bachelor,1/4/11,jan,unemployed,f,61519,suburban,single,83,0,12,0,7,personal auto,personal l2,offer3,call center,597,four-door car,medsize
6080,central,5073,yes,extended,doctor,1/30/11,jan,employed,m,57709,suburban,married,125,10,26,0,1,personal auto,personal l3,offer2,branch,600,suv,medsize
6081,west region,6950,no,extended,high school or below,2/5/11,feb,employed,f,21687,suburban,married,88,22,68,2,8,personal auto,personal l3,offer2,agent,603,four-door car,medsize
6082,north west,10058,no,extended,high school or below,2/27/11,feb,unemployed,m,81247,suburban,single,92,30,81,0,2,personal auto,personal l2,offer1,call center,640,two-door car,medsize
6083,central,5015,yes,extended,bachelor,2/3/11,feb,employed,f,48567,suburban,single,130,12,15,0,1,personal auto,personal l1,offer2,agent,624,suv,medsize
6084,north west,8193,no,basic,bachelor,2/20/11,feb,employed,m,54950,urban,married,103,25,75,0,7,corporate auto,corporate l1,offer4,web,480,suv,medsize
6085,north west,6269,no,extended,high school or below,1/22/11,jan,unemployed,f,82634,suburban,single,89,25,39,1,7,special auto,special l2,offer1,call center,942,two-door car,large
6086,north west,2557,no,basic,college,2/18/11,feb,unemployed,m,37491,suburban,divorced,73,30,8,0,1,corporate auto,corporate l1,offer1,branch,525,four-door car,medsize
6087,central,8207,no,premium,college,1/12/11,jan,employed,m,35349,suburban,married,102,18,2,0,4,personal auto,personal l3,offer1,web,489,four-door car,medsize
6088,central,3038,no,extended,college,2/26/11,feb,employed,f,75180,rural,single,77,15,30,3,1,corporate auto,corporate l3,offer3,agent,154,four-door car,large
6089,east,8062,no,basic,college,2/14/11,feb,employed,m,42124,suburban,married,101,3,78,0,6,personal auto,personal l2,offer4,branch,484,suv,medsize
6090,west region,6358,no,extended,high school or below,1/24/11,jan,unemployed,m,59085,rural,married,94,19,98,2,4,personal auto,personal l2,offer1,agent,17,four-door car,medsize
6091,central,2810,yes,basic,bachelor,2/27/11,feb,employed,m,26790,suburban,married,71,4,41,0,1,personal auto,personal l1,offer2,agent,340,two-door car,medsize
6092,west region,7098,no,basic,bachelor,2/17/11,feb,employed,m,37511,urban,married,185,14,93,2,1,personal auto,personal l3,offer3,call center,579,luxury car,medsize
6093,north west,4558,no,basic,high school or below,1/31/11,jan,unemployed,m,48570,suburban,single,62,13,21,0,8,corporate auto,corporate l2,offer2,call center,446,four-door car,medsize
6094,north west,2659,yes,extended,college,2/19/11,feb,unemployed,f,77866,suburban,divorced,87,4,4,3,1,personal auto,personal l3,offer2,agent,420,four-door car,medsize
6095,central,5507,no,basic,master,2/8/11,feb,unemployed,f,22317,suburban,married,71,3,38,0,3,personal auto,personal l3,offer1,branch,340,four-door car,medsize
6096,east,2903,no,extended,master,1/10/11,jan,unemployed,f,79944,suburban,married,77,15,89,0,1,personal auto,personal l3,offer2,web,491,four-door car,medsize
6097,central,9602,no,extended,college,2/15/11,feb,unemployed,f,59792,suburban,single,94,12,3,0,2,personal auto,personal l3,offer3,branch,676,two-door car,medsize
6098,central,7590,no,extended,high school or below,1/9/11,jan,employed,f,52823,rural,married,95,7,15,0,5,personal auto,personal l3,offer2,branch,125,two-door car,medsize
6099,west region,3788,no,basic,high school or below,1/10/11,jan,unemployed,f,15060,suburban,single,106,27,89,0,1,personal auto,personal l3,offer1,agent,763,two-door car,medsize
6100,west region,14590,no,basic,college,1/11/11,jan,employed,f,46244,urban,divorced,62,8,3,0,2,corporate auto,corporate l3,offer4,agent,255,four-door car,medsize
6101,central,9031,yes,extended,master,2/23/11,feb,unemployed,f,93124,suburban,single,122,7,47,0,9,personal auto,personal l2,offer1,branch,650,sports car,medsize
6102,west region,8278,no,premium,high school or below,1/18/11,jan,unemployed,f,30342,suburban,married,110,20,66,0,7,personal auto,personal l3,offer1,agent,1002,four-door car,medsize
6103,north west,14014,no,basic,college,2/12/11,feb,employed,m,54193,suburban,married,117,2,83,0,2,corporate auto,corporate l2,offer1,call center,720,suv,medsize
6104,west region,3443,no,extended,bachelor,1/31/11,jan,medical leave,m,16208,suburban,married,93,9,20,0,1,personal auto,personal l3,offer2,call center,446,two-door car,large
6105,north west,5380,no,basic,master,2/28/11,feb,unemployed,m,77848,rural,divorced,74,19,41,0,8,personal auto,personal l2,offer1,web,59,four-door car,medsize
6106,central,14195,no,basic,bachelor,2/12/11,feb,employed,f,86355,rural,married,118,27,86,0,2,personal auto,personal l3,offer1,agent,285,sports car,large
6107,north west,11714,no,basic,college,1/22/11,jan,disabled,m,21102,suburban,married,100,0,81,0,2,personal auto,personal l2,offer1,agent,480,suv,medsize
6108,central,3239,no,extended,bachelor,2/3/11,feb,disabled,f,16061,suburban,single,88,26,23,0,1,personal auto,personal l2,offer3,web,633,four-door car,medsize
6109,central,3141,no,extended,college,2/22/11,feb,employed,m,43499,suburban,married,80,8,44,0,1,personal auto,personal l2,offer4,call center,529,four-door car,medsize
6110,north west,11513,no,basic,bachelor,2/4/11,feb,unemployed,f,59345,suburban,divorced,64,19,72,0,2,personal auto,personal l3,offer1,web,307,luxury suv,small
6111,north west,12097,no,basic,doctor,2/27/11,feb,unemployed,f,27304,urban,married,107,18,79,0,2,personal auto,personal l3,offer1,branch,271,suv,large
6112,west region,5156,no,basic,high school or below,2/12/11,feb,unemployed,m,14262,suburban,single,73,5,72,0,7,personal auto,personal l2,offer1,branch,807,four-door car,small
6113,west region,6186,no,extended,college,1/31/11,jan,employed,f,88375,rural,divorced,77,23,11,0,3,personal auto,personal l2,offer2,agent,0,four-door car,medsize
6114,west region,7091,no,basic,high school or below,2/7/11,feb,unemployed,m,11773,suburban,single,68,13,52,0,2,corporate auto,corporate l1,offer1,agent,489,four-door car,medsize
6115,north west,2893,no,basic,bachelor,2/15/11,feb,employed,f,30406,suburban,married,73,29,93,0,1,personal auto,personal l3,offer1,web,350,four-door car,medsize
6116,east,2530,no,basic,doctor,1/25/11,jan,employed,m,50577,rural,divorced,63,2,8,0,1,personal auto,personal l1,offer2,agent,12,two-door car,large
6117,west region,2538,yes,basic,bachelor,2/17/11,feb,retired,m,18608,suburban,divorced,71,13,24,0,1,special auto,special l3,offer2,web,340,four-door car,medsize
6118,north west,4551,no,basic,high school or below,2/13/11,feb,unemployed,m,90444,suburban,single,62,25,98,0,3,personal auto,personal l1,offer1,call center,446,two-door car,medsize
6119,north west,7516,no,basic,high school or below,2/2/11,feb,unemployed,f,91625,suburban,single,106,7,39,0,6,personal auto,personal l2,offer1,agent,850,suv,medsize
6120,central,2470,no,basic,doctor,2/26/11,feb,disabled,f,18661,urban,married,62,13,74,0,1,personal auto,personal l2,offer2,web,196,two-door car,medsize
6121,north west,2472,yes,basic,college,1/20/11,jan,employed,f,63860,urban,married,62,26,81,0,1,personal auto,personal l3,offer2,agent,208,four-door car,medsize
6122,west region,4100,no,premium,college,1/6/11,jan,employed,f,47761,suburban,single,104,16,58,0,1,personal auto,personal l2,offer1,branch,541,four-door car,large
6123,central,2691,no,basic,doctor,1/3/11,jan,employed,f,82108,rural,divorced,67,17,63,0,1,personal auto,personal l2,offer4,web,52,four-door car,small
6124,north west,30718,no,basic,bachelor,1/10/11,jan,employed,f,90607,rural,single,109,1,48,0,2,special auto,special l2,offer2,agent,243,suv,medsize
6125,west region,11093,no,extended,high school or below,2/27/11,feb,employed,m,78255,suburban,single,95,14,88,0,2,personal auto,personal l3,offer4,branch,456,four-door car,small
6126,central,7371,no,basic,college,2/3/11,feb,unemployed,f,74967,suburban,divorced,68,2,70,0,2,personal auto,personal l1,offer3,agent,425,four-door car,medsize
6127,west region,10097,no,basic,high school or below,1/22/11,jan,employed,m,68997,urban,married,63,3,26,0,2,personal auto,personal l2,offer2,agent,206,four-door car,large
6128,central,41143,no,basic,college,1/16/11,jan,employed,f,63624,urban,married,115,10,40,2,2,personal auto,personal l3,offer4,agent,306,suv,medsize
6129,north west,10507,no,extended,bachelor,2/19/11,feb,employed,m,76549,urban,married,132,3,5,0,3,personal auto,personal l3,offer2,agent,616,suv,medsize
6130,central,9985,no,extended,college,2/2/11,feb,employed,m,36268,suburban,single,86,2,22,1,2,personal auto,personal l3,offer2,agent,531,four-door car,small
6131,west region,4836,no,extended,bachelor,1/3/11,jan,unemployed,f,70390,suburban,single,136,8,2,0,1,personal auto,personal l2,offer1,branch,979,suv,small
6132,north west,25464,yes,extended,college,2/1/11,feb,retired,f,13663,suburban,single,97,1,66,0,2,personal auto,personal l3,offer1,branch,465,four-door car,small
6133,west region,2866,no,basic,high school or below,2/13/11,feb,employed,f,87428,urban,divorced,72,27,42,0,1,personal auto,personal l3,offer2,agent,224,four-door car,medsize
6134,east,5267,no,basic,college,1/3/11,jan,employed,m,40818,suburban,married,66,6,3,0,6,personal auto,personal l2,offer4,call center,316,four-door car,medsize
6135,east,6837,no,premium,bachelor,2/10/11,feb,employed,f,90750,urban,married,170,30,47,0,1,personal auto,personal l2,offer4,agent,746,suv,medsize
6136,west region,8066,no,basic,high school or below,2/28/11,feb,disabled,f,17950,suburban,married,71,16,62,2,2,special auto,special l2,offer2,web,340,two-door car,medsize
6137,north west,4429,yes,basic,high school or below,2/19/11,feb,employed,f,20868,suburban,married,112,14,11,0,1,personal auto,personal l3,offer2,branch,537,suv,large
6138,north west,7692,no,premium,college,2/19/11,feb,unemployed,m,92523,suburban,married,105,1,37,0,4,personal auto,personal l1,offer4,web,504,four-door car,medsize
6139,west region,4118,yes,premium,bachelor,1/28/11,jan,employed,f,69379,suburban,single,103,14,79,0,1,personal auto,personal l3,offer1,branch,494,four-door car,medsize
6140,north west,14536,no,basic,bachelor,1/16/11,jan,employed,m,25805,suburban,divorced,66,25,0,2,2,personal auto,personal l2,offer2,call center,375,four-door car,medsize
6141,west region,8166,no,extended,high school or below,2/26/11,feb,unemployed,m,67320,suburban,single,82,34,5,0,2,personal auto,personal l1,offer2,web,590,four-door car,small
6142,north west,4372,no,basic,high school or below,2/1/11,feb,disabled,f,23124,suburban,married,112,27,59,0,1,special auto,special l2,offer3,agent,537,sports car,medsize
6143,west region,2551,no,basic,college,1/24/11,jan,employed,m,79452,urban,single,65,33,75,0,1,corporate auto,corporate l2,offer2,call center,187,four-door car,medsize
6144,west region,4637,no,premium,bachelor,1/22/11,jan,employed,m,97017,urban,married,115,33,60,1,1,personal auto,personal l2,offer3,agent,534,two-door car,medsize
6145,central,6997,no,extended,college,2/23/11,feb,employed,f,56940,suburban,married,87,11,10,0,9,personal auto,personal l3,offer2,web,512,four-door car,small
6146,west region,2521,no,basic,bachelor,2/20/11,feb,employed,f,41247,suburban,divorced,64,17,6,0,1,personal auto,personal l3,offer4,web,307,two-door car,large
6147,central,5417,no,basic,college,1/9/11,jan,employed,f,54898,urban,single,69,25,32,0,9,corporate auto,corporate l2,offer1,call center,176,two-door car,small
6148,north west,7564,no,basic,bachelor,1/15/11,jan,employed,f,48381,suburban,married,63,2,71,0,2,personal auto,personal l3,offer1,agent,302,two-door car,small
6149,west region,2485,no,basic,bachelor,1/21/11,jan,employed,m,76608,rural,married,62,2,2,0,1,personal auto,personal l3,offer1,call center,91,four-door car,small
6150,central,8779,no,extended,high school or below,2/9/11,feb,employed,m,54726,suburban,married,219,30,69,0,1,corporate auto,corporate l1,offer3,branch,1051,luxury car,small
6151,west region,7083,no,premium,college,1/30/11,jan,employed,m,97024,urban,married,177,0,68,0,1,personal auto,personal l2,offer2,branch,686,suv,medsize
6152,west region,8632,no,premium,bachelor,2/20/11,feb,employed,f,96200,suburban,married,107,9,45,0,3,personal auto,personal l2,offer2,web,513,two-door car,small
6153,north west,4023,no,premium,bachelor,1/10/11,jan,employed,m,41833,suburban,married,103,4,43,0,1,personal auto,personal l3,offer2,branch,643,four-door car,medsize
6154,central,3954,yes,basic,bachelor,2/25/11,feb,disabled,m,18375,suburban,married,103,8,50,0,1,personal auto,personal l2,offer1,branch,535,sports car,large
6155,west region,2555,no,basic,high school or below,1/31/11,jan,employed,f,22881,suburban,single,65,20,10,0,1,personal auto,personal l2,offer2,call center,312,four-door car,medsize
6156,west region,5845,no,basic,bachelor,1/11/11,jan,employed,f,43145,suburban,married,73,12,0,0,6,corporate auto,corporate l3,offer3,web,516,two-door car,medsize
6157,north west,5971,no,extended,high school or below,1/21/11,jan,employed,m,52018,suburban,divorced,78,21,37,0,7,personal auto,personal l3,offer1,agent,374,four-door car,medsize
6158,central,29328,no,extended,master,2/27/11,feb,employed,f,32006,rural,single,94,28,7,0,2,corporate auto,corporate l3,offer2,call center,56,four-door car,medsize
6159,north west,2442,no,basic,high school or below,1/7/11,jan,unemployed,m,82661,suburban,single,74,15,9,3,1,personal auto,personal l1,offer4,branch,532,four-door car,medsize
6160,west region,6898,no,premium,master,2/10/11,feb,employed,f,70950,urban,married,171,6,12,0,1,personal auto,personal l3,offer4,call center,565,sports car,medsize
6161,north west,4061,no,basic,college,1/27/11,jan,employed,f,30061,suburban,single,104,4,22,0,1,special auto,special l2,offer1,web,499,sports car,large
6162,central,6383,no,extended,college,1/13/11,jan,employed,f,67881,suburban,married,79,6,70,0,4,personal auto,personal l2,offer3,branch,391,two-door car,medsize
6163,central,12350,no,premium,bachelor,1/9/11,jan,employed,m,54710,urban,married,103,13,46,0,2,personal auto,personal l3,offer3,branch,294,two-door car,medsize
6164,north west,7166,no,extended,bachelor,1/12/11,jan,employed,f,59253,rural,divorced,89,17,70,0,3,personal auto,personal l1,offer2,agent,67,four-door car,medsize
6165,central,9061,no,premium,master,2/18/11,feb,employed,f,73876,urban,married,112,19,71,0,8,personal auto,personal l1,offer3,web,419,four-door car,medsize
6166,west region,4874,no,basic,college,2/9/11,feb,employed,m,92783,rural,married,61,1,47,0,6,personal auto,personal l1,offer2,agent,6,two-door car,medsize
6167,central,9259,no,basic,high school or below,2/3/11,feb,disabled,m,17109,suburban,married,62,7,45,0,2,personal auto,personal l3,offer2,agent,297,two-door car,medsize
6168,central,16525,no,basic,high school or below,1/17/11,jan,employed,m,24414,suburban,married,104,34,80,0,2,personal auto,personal l1,offer2,call center,499,suv,medsize
6169,central,25002,no,basic,college,1/10/11,jan,employed,m,21927,rural,married,71,32,40,0,2,personal auto,personal l2,offer2,call center,128,four-door car,medsize
6170,north west,7069,no,extended,bachelor,2/8/11,feb,employed,f,63867,suburban,married,89,21,4,1,3,corporate auto,corporate l3,offer3,branch,432,four-door car,medsize
6171,central,2320,no,basic,college,2/5/11,feb,medical leave,m,19581,suburban,married,61,32,27,0,1,personal auto,personal l1,offer2,call center,377,four-door car,medsize
6172,west region,5391,no,basic,college,2/26/11,feb,employed,f,63633,suburban,married,68,16,21,1,8,corporate auto,corporate l1,offer2,agent,374,two-door car,medsize
6173,north west,6852,no,basic,college,1/13/11,jan,unemployed,m,62396,suburban,single,69,7,45,1,2,personal auto,personal l2,offer2,branch,406,four-door car,medsize
6174,west region,4270,yes,extended,college,1/19/11,jan,unemployed,m,35209,suburban,married,122,27,2,0,1,personal auto,personal l1,offer2,agent,725,suv,medsize
6175,north west,15610,no,premium,master,1/10/11,jan,unemployed,f,16198,urban,married,119,3,52,5,2,personal auto,personal l3,offer2,branch,439,four-door car,medsize
6176,central,4931,no,basic,college,1/17/11,jan,unemployed,m,41209,suburban,married,68,6,93,0,8,personal auto,personal l3,offer1,agent,480,four-door car,medsize
6177,north west,5110,no,extended,bachelor,2/23/11,feb,disabled,f,22565,suburban,married,132,0,20,0,1,personal auto,personal l1,offer3,agent,633,suv,small
6178,central,2545,no,basic,high school or below,2/15/11,feb,employed,m,71868,suburban,single,65,6,61,0,1,corporate auto,corporate l3,offer4,agent,312,four-door car,small
6179,west region,2753,no,basic,high school or below,2/23/11,feb,unemployed,f,90136,urban,married,73,29,82,0,1,personal auto,personal l3,offer1,call center,298,four-door car,medsize
6180,west region,2961,no,extended,master,2/28/11,feb,medical leave,m,22608,suburban,married,77,5,10,0,1,personal auto,personal l1,offer2,agent,369,four-door car,small
6181,east,2254,no,basic,bachelor,1/2/11,jan,unemployed,f,78494,suburban,single,65,3,95,1,1,personal auto,personal l3,offer1,branch,768,four-door car,medsize
6182,north west,3336,no,extended,high school or below,1/6/11,jan,disabled,m,19447,suburban,married,89,15,6,0,1,corporate auto,corporate l3,offer2,call center,640,four-door car,medsize
6183,north west,10861,no,extended,bachelor,2/17/11,feb,employed,m,64744,rural,divorced,139,5,34,0,5,personal auto,personal l3,offer4,agent,41,suv,medsize
6184,west region,7957,no,basic,high school or below,1/19/11,jan,employed,m,51125,suburban,divorced,67,25,67,0,2,personal auto,personal l3,offer1,agent,430,four-door car,medsize
6185,west region,3653,no,premium,college,1/12/11,jan,unemployed,m,61132,suburban,single,107,32,43,0,1,corporate auto,corporate l3,offer1,branch,770,four-door car,medsize
6186,north west,2514,no,basic,high school or below,1/10/11,jan,medical leave,f,23504,suburban,single,69,21,56,0,1,corporate auto,corporate l2,offer1,agent,374,two-door car,small
6187,west region,3579,no,extended,bachelor,1/24/11,jan,employed,f,84598,suburban,married,89,8,7,2,1,personal auto,personal l3,offer4,call center,639,two-door car,small
6188,central,7776,no,basic,bachelor,1/4/11,jan,employed,m,63568,suburban,married,65,19,5,0,2,corporate auto,corporate l3,offer4,agent,390,two-door car,medsize
6189,west region,4170,no,basic,bachelor,2/9/11,feb,employed,m,90310,rural,married,104,8,39,0,1,personal auto,personal l1,offer2,call center,166,suv,small
6190,north west,17367,no,premium,high school or below,1/5/11,jan,employed,m,66245,rural,married,145,22,58,0,2,personal auto,personal l3,offer2,agent,181,suv,medsize
6191,west region,4706,no,basic,bachelor,2/17/11,feb,unemployed,m,37100,suburban,single,72,0,86,0,7,personal auto,personal l2,offer1,agent,345,four-door car,medsize
6192,north west,14191,no,basic,doctor,2/14/11,feb,employed,f,25575,suburban,married,117,3,41,0,2,personal auto,personal l2,offer3,branch,561,suv,medsize
6193,west region,2396,yes,basic,bachelor,1/10/11,jan,unemployed,f,20730,suburban,married,66,6,71,2,1,personal auto,personal l3,offer2,call center,433,four-door car,large
6194,central,5285,no,basic,college,2/27/11,feb,employed,m,85753,suburban,married,66,23,14,1,8,special auto,special l2,offer1,branch,316,four-door car,small
6195,west region,5555,yes,basic,bachelor,2/6/11,feb,employed,m,74015,suburban,single,72,12,61,0,6,personal auto,personal l3,offer2,call center,471,four-door car,small
6196,central,9118,no,basic,high school or below,1/8/11,jan,employed,f,56446,suburban,married,114,2,8,0,3,personal auto,personal l3,offer1,branch,547,suv,medsize
6197,north west,7485,no,extended,master,1/30/11,jan,employed,f,26380,rural,single,96,29,70,0,4,personal auto,personal l1,offer2,web,177,four-door car,large
6198,central,7649,no,basic,bachelor,1/6/11,jan,employed,f,52705,rural,married,64,14,8,1,2,personal auto,personal l2,offer1,web,128,two-door car,large
6199,west region,11926,no,premium,college,2/3/11,feb,employed,m,50234,suburban,divorced,101,12,1,0,2,personal auto,personal l3,offer1,agent,484,four-door car,small
6200,east,2938,no,extended,bachelor,1/12/11,jan,unemployed,f,12301,suburban,married,80,2,49,1,1,corporate auto,corporate l3,offer3,web,384,two-door car,medsize
6201,central,2487,no,basic,bachelor,2/7/11,feb,employed,f,28738,rural,divorced,62,2,95,0,1,personal auto,personal l2,offer1,agent,81,two-door car,medsize
6202,central,5227,no,extended,college,2/11/11,feb,employed,f,93087,suburban,married,131,14,25,3,1,corporate auto,corporate l3,offer1,agent,628,sports car,medsize
6203,north west,6903,no,extended,high school or below,2/5/11,feb,medical leave,f,15921,suburban,married,92,9,12,1,4,corporate auto,corporate l2,offer1,call center,571,four-door car,small
6204,west region,4929,no,basic,high school or below,1/27/11,jan,unemployed,f,77412,suburban,single,70,25,21,0,6,personal auto,personal l3,offer4,call center,837,four-door car,medsize
6205,north west,9713,no,extended,high school or below,2/11/11,feb,unemployed,f,66321,suburban,single,136,7,34,0,3,corporate auto,corporate l3,offer1,agent,979,suv,large
6206,central,8501,no,basic,bachelor,2/8/11,feb,employed,m,98003,urban,divorced,107,4,46,0,7,personal auto,personal l3,offer3,call center,449,suv,small
